phase,mode,call_id,case_id,app,split,expected,predicted,correct,confidence_pdf,source_page,provenance
fase2,batch,50,fase2:triage-14,triage,holdout,outro,outro,1,0.48,45,pdf_table_transcription_not_raw_ledger
fase2,batch,50,fase2:triage-13,triage,holdout,pesquisa,pesquisa,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,50,fase2:triage-12,triage,holdout,financeiro,financeiro,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,50,fase2:triage-11,triage,holdout,juridico,juridico,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,50,fase2:triage-10,triage,holdout,organizacao,organizacao,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,50,fase2:triage-09,triage,holdout,comunicacao,comunicacao,1,0.92,45,pdf_table_transcription_not_raw_ledger
fase2,batch,50,fase2:triage-08,triage,holdout,engenharia,engenharia,1,0.99,45,pdf_table_transcription_not_raw_ledger
fase2,batch,51,fase2:evidence-07,evidence,development,irrelevant,relevant,0,0.67,45,pdf_table_transcription_not_raw_ledger
fase2,batch,51,fase2:evidence-06,evidence,development,irrelevant,irrelevant,1,0.99,45,pdf_table_transcription_not_raw_ledger
fase2,batch,51,fase2:evidence-05,evidence,development,irrelevant,irrelevant,1,0.99,45,pdf_table_transcription_not_raw_ledger
fase2,batch,51,fase2:evidence-04,evidence,development,relevant,irrelevant,0,0.01,45,pdf_table_transcription_not_raw_ledger
fase2,batch,51,fase2:evidence-03,evidence,development,irrelevant,irrelevant,1,0.29,45,pdf_table_transcription_not_raw_ledger
fase2,batch,51,fase2:evidence-02,evidence,development,relevant,relevant,1,0.98,45,pdf_table_transcription_not_raw_ledger
fase2,batch,51,fase2:evidence-01,evidence,development,relevant,relevant,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,51,fase2:evidence-00,evidence,development,irrelevant,irrelevant,1,0.99,45,pdf_table_transcription_not_raw_ledger
fase2,batch,52,fase2:evidence-15,evidence,holdout,irrelevant,irrelevant,1,0.66,45,pdf_table_transcription_not_raw_ledger
fase2,batch,52,fase2:evidence-14,evidence,holdout,relevant,relevant,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,52,fase2:evidence-13,evidence,holdout,irrelevant,irrelevant,1,0.87,45,pdf_table_transcription_not_raw_ledger
fase2,batch,52,fase2:evidence-12,evidence,holdout,relevant,irrelevant,0,0.65,45,pdf_table_transcription_not_raw_ledger
fase2,batch,52,fase2:evidence-11,evidence,holdout,relevant,relevant,1,0.99,45,pdf_table_transcription_not_raw_ledger
fase2,batch,52,fase2:evidence-10,evidence,holdout,irrelevant,irrelevant,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,52,fase2:evidence-09,evidence,holdout,relevant,relevant,1,0.72,45,pdf_table_transcription_not_raw_ledger
fase2,batch,52,fase2:evidence-08,evidence,holdout,relevant,relevant,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,53,fase2:claim-07,claim,development,contradicted,contradicted,1,0.8,45,pdf_table_transcription_not_raw_ledger
fase2,batch,53,fase2:claim-06,claim,development,insufficient,insufficient,1,1.0,46,pdf_table_transcription_not_raw_ledger
fase2,batch,53,fase2:claim-05,claim,development,supported,supported,1,0.85,46,pdf_table_transcription_not_raw_ledger
fase2,batch,53,fase2:claim-04,claim,development,contradicted,contradicted,1,0.98,46,pdf_table_transcription_not_raw_ledger
fase2,batch,53,fase2:claim-03,claim,development,supported,supported,1,0.98,46,pdf_table_transcription_not_raw_ledger
fase2,batch,53,fase2:claim-02,claim,development,insufficient,insufficient,1,1.0,46,pdf_table_transcription_not_raw_ledger
fase2,batch,53,fase2:claim-01,claim,development,insufficient,insufficient,1,0.3,46,pdf_table_transcription_not_raw_ledger
fase2,batch,53,fase2:claim-00,claim,development,contradicted,contradicted,1,0.98,46,pdf_table_transcription_not_raw_ledger
fase2,batch,54,fase2:claim-15,claim,holdout,supported,supported,1,0.98,46,pdf_table_transcription_not_raw_ledger
fase2,batch,54,fase2:claim-14,claim,holdout,contradicted,contradicted,1,1.0,46,pdf_table_transcription_not_raw_ledger
fase2,batch,54,fase2:claim-13,claim,holdout,insufficient,insufficient,1,0.96,46,pdf_table_transcription_not_raw_ledger
fase2,batch,54,fase2:claim-12,claim,holdout,supported,supported,1,0.98,46,pdf_table_transcription_not_raw_ledger
fase2,batch,54,fase2:claim-11,claim,holdout,insufficient,insufficient,1,1.0,46,pdf_table_transcription_not_raw_ledger
fase2,batch,54,fase2:claim-10,claim,holdout,supported,supported,1,0.99,46,pdf_table_transcription_not_raw_ledger
fase2,batch,54,fase2:claim-09,claim,holdout,contradicted,contradicted,1,1.0,46,pdf_table_transcription_not_raw_ledger
fase2,batch,54,fase2:claim-08,claim,holdout,insufficient,insufficient,1,0.28,46,pdf_table_transcription_not_raw_ledger
